Game_id,Penalty_Number,Team,Player,Age,BirthYear
22,1,URU,Forlán,31,1979
22,2,GHA,Gyan,25,1985
22,3,URU,Victorino,28,1982
22,4,GHA,Appiah,30,1980
22,5,URU,Scotti,35,1975
22,6,GHA,Mensah,28,1982
22,7,URU,M. Pereira,26,1984
22,8,GHA,Adiyiah,21,1989
22,9,URU,Abreu,34,1976
22,10,GHA,,,
23,1,BRA,David Luiz,27,1987
23,2,CHI,Pinilla,30,1984
23,3,BRA,Willian,26,1988
23,4,CHI,Sánchez,26,1988
23,5,BRA,Marcelo,26,1988
23,6,CHI,Aránguiz,25,1989
23,7,BRA,Hulk,28,1986
23,8,CHI,Díaz,28,1986
23,9,BRA,Neymar,22,1992
23,10,CHI,Jara,29,1985
24,1,CRA,Borges,26,1988
24,2,GRE,Mitroglou,26,1988
24,3,CRA,Ruiz,29,1985
24,4,GRE,Lazaros,28,1986
24,5,CRA,González,26,1988
24,6,GRE,Holebas,30,1984
24,7,CRA,Campbell,22,1992
24,8,GRE,Gekas,34,1980
24,9,CRA,Umaña,32,1982
24,10,GRE,,,
25,1,CRA,Borges,26,1988
25,2,HOL,Van Persie,31,1983
25,3,CRA,Ruiz,29,1985
25,4,HOL,Robben,30,1984
25,5,CRA,González,26,1988
25,6,HOL,Sneijder,30,1984
25,7,CRA,Bolaños,30,1984
25,8,HOL,Kuyt,34,1980
25,9,CRA,Umaña,32,1982
25,10,HOL,,,
26,1,HOL,Vlaar,29,1985
26,2,ARG,Messi,27,1987
26,3,HOL,Robben,30,1984
26,4,ARG,Garay,28,1986
26,5,HOL,Sneijder,30,1984
26,6,ARG,Agüero,26,1988
26,7,HOL,Kuyt,34,1980
26,8,ARG,Rodríguez,33,1981
26,9,HOL,,,
26,10,ARG,,,
27,1,SPA,Iniesta,34,1984
27,2,RUS,Smolov,28,1990
27,3,SPA,Piqué,31,1987
27,4,RUS,Ignashevich,39,1979
27,5,SPA,Koke,26,1992
27,6,RUS,Golovin,22,1996
27,7,SPA,Ramos,32,1986
27,8,RUS,Cheryshev,28,1990
27,9,SPA,Aspas,31,1987
27,10,RUS,,,
28,1,DEN,Eriksen,26,1992
28,2,CRO,Badelj,29,1989
28,3,DEN,Kjær,29,1989
28,4,CRO,Kramarić,27,1991
28,5,DEN,Krohn-Dehli,35,1983
28,6,CRO,Modrić,33,1985
28,7,DEN,Schöne,32,1986
28,8,CRO,Pivarić,29,1989
28,9,DEN,N. Jørgensen,27,1991
28,10,CRO,Rakitić,30,1988
29,1,COL,Falcao,32,1986
29,2,ENG,Kane,25,1993
29,3,COL,Ju. Cuadrado,30,1988
29,4,ENG,Rashford,21,1997
29,5,COL,Muriel,27,1991
29,6,ENG,Henderson,28,1990
29,7,COL,Uribe,27,1991
29,8,ENG,Trippier,28,1990
29,9,COL,Bacca,32,1986
29,10,ENG,Dier,24,1994
30,1,RUS,Smolov,28,1990
30,2,CRO,Brozović,26,1992
30,3,RUS,Dzagoev,28,1990
30,4,CRO,Kovačić,24,1994
30,5,RUS,Fernandes,28,1990
30,6,CRO,Modrić,33,1985
30,7,RUS,Ignashevich,39,1979
30,8,CRO,Vida,29,1989
30,9,RUS,Kuzyayev,25,1993
30,10,CRO,Rakitić,30,1988
